Albinoni, Adagio in G Minor
Mendelssohn, Violin Concerto in e minor op 64
Mozart, Piano Concerto No 21 in C major K 467
Mozart,  Piano Concerto No23 (K 488) II Adagio
Mozart, Symphony No 25 in G minor K 183
Mozart, Symphony No 39 in E flat K 543 
Mozart, Piano Concerto no 20 K 466 
Ornstein, Piano Quintet 3rd mvt
Paganini, Caprice No 24
Paganini, Duo Merveille
Paganini, I Palpiti
Paganini, La Campanella
Paganini, Nel cor più non mi sento for violin
Paganini, The Carnival of Venice
Paganini, The Infant Fantasia
Paganini, Variations on God save the Queen op9 violin solo
Paganini, Violin Concerto 1
Paganini, Violin Concerto No 3
Verdi, Il Barbiere di Siviglia
Verdi, La rivedra nell'estasi
Puccini, Nessun Dorma
Leoncavallo, Ridi Pagliaccio
Donizetti, Una furtiva lagrima L'elisir d'amore
Nabucco, Va Pensiero
Nardini, Violin Concertos
Rachmaninoff, Prelude Op23 No10 in G flat major
Rachmaninoff, 10 Preludes Op23
Rachmaninoff, Elegie Op 3 No 1
Rachmaninoff, Piano Concerto no2 op18
Rachmaninoff, Rhapsody on a Theme of Paganini Op 43 Variation 18
Rachmaninoff, vocalise
Ravel, Bolero
Ravel, La Valse
Rieding, Concertino op21 in A minor in Hungarian style
Korsakov, Ouverture Russisch Paasfeest
Schumann, Träumerei
Rossini, La gazza ladra
Saint_Saëns, Sinfonia n 1 Op 2
Saint_Saëns, Introduction + Rondo Capriccioso op 28
Saint_Saëns, Danse Macabre for Violin  Piano
Saint_Saëns, The Carnival of the Animals
Saint_Saëns, op 28 violin
Saint_Saëns, Symphony No 3 in C minor Op 78
Saint_Saëns, The Swan
Sarasate, Capricho vasco Op 24
Sarasate, Carmen Fantasy
Sarasate, Spanish Dances No1 Malaguena Op 21
Sarasate, Spanish Dances op22 no1 Romanza Andaluza
Sarasate, Zigeunerweisen
Schubert, String Quartet No14 in D minor
Schubert Liszt, Ständchen Serenade
Schubert, 4 Impromptus D 899  Op 90
Schubert, Piano Sonata No 16 D 845 A minor 
Schubert, Piano Sonata No 17 D 850 D major 
Schubert, Piano Sonata No 20 D 959 in A major 
Schubert, Piano Sonata No 21 D 960 in B flat major 
Schubert, Piano Trio No 2 in E flat major D 929 2nd mvt
SCHUBERT, SERENADE
Sibelius, Symphony 5
Sibelius, Valse Triste op 44 no 1
Sibelius, Violin concerto
Hauser, Mon coeur s'ouvre a ta voix
Johann_Strauss_II, Accelerationen op 234
Johann_Strauss_II, Annen Polka op 117
Johann_Strauss_II, An Der Schönen Blauen Donau
Johann_Strauss_II, An Artist's Life
Johann_Strauss_II, Pizzicato Polka
Johann_Strauss_II, Rosen aus dem Süden Walzer Op 388
Johann_Strauss_II, Seid Umschlungen Millionen Walzer Op 443
Johann_Strauss_II, Tausend und Eine Nacht Walzer op 346
Johann_Strauss_II, Vienna Blood Waltz
Johann_Strauss_II, Voices of Spring Waltz
Johann_Strauss_II, Wiener Bonbons Walzer op 307
Johann_Strauss_I, Radetzky Marsch Op 228
Johann_Strauss_II, Love Songs
Johann_Strauss_II, Tritsch Tratsch Polka
Johann_Strauss_II, Leichtes Blut Op 139
Johann_Strauss_II, Emperor Waltz Op 437
Johann_Strauss_II, G'schichten aus dem Wienerwald
Tartini, Sonata per violino in sol minore 'Il Trillo del Diavolo'
Tchaikovsky, Serenade op48
Tchaikovsky, The Nutcracker Suite Op 71a
Tchaikovsky, Valse Sentimentale
Tchaikovsky, Violin Concerto in D major Op 35
Arensky, Variations on a Theme by Tchaikovsky Op 35
Vieuxtemps, Henry Fantasia Appassionata opus 35
Vitali, Chaconne
Vivaldi, L'Autunno
Vivaldi, Winter
Vivaldi, Spring
Vivaldi, Summer
Wieniawski, 8 Etudes Caprices op10
Wieniawski, op15 Variations on an original theme for violin + piano
Wieniawski, op18 for 2 violins
Wieniawski, op20 Fantaisie brillante Faust for violin and orchestra
Wieniawski, op6 Souvenir de Moskou
Wieniawski, Polonaise de concert No 1 in D major Op 4
