???Peter  his Girl Up the Sky
Peter_Reinhardt, Black Rabbit
Peter_Reinhardt, Early Bird
Peter_Reinhardt, Meloraja
Philipp_Poisel Mirco Niemeier, Halt Mich
Phonothek, Iron Bird
PLAMYODUL, NULL VIER
Planet_Of_Sound, We Are Together
Raffertie, Known
Red_Mystery Ron_Flatter, Jetlands
Revilo, Dream
Ripperton, Random Violence 
Robin_Schulz Handlebars
Robin_Schulz Prayer in C
Robin_Schulz Same
Robin_Schulz Sunset
Robin_Schulz Warm Minds 
Robin_Schulz Willst Du (Bootleg)
Rob_Simonsen Miss_Unique, Red
Rökurro Fejká, Svanur
???Romeo Foxtrott Memories I
Rone, Parade
Ron Flatter, Mantequilla
???Royal Ruv Pills, Coffee
SAILOR_&_I lucas_türschmann, TOUGH LOVE
Sascha_Funke, Chemin Des Figons
Sasch, Ederlezi
Scheinizzl salzach, one more
SDP ANDUSCHUS, EIGENTLICH WOLLTE ER NIE EIN LIEBESLIED SCHREIBEN
Solee, Caillou
Solomun, Gebrueder
Talul, Maya
Ten_Walls, Walking with Elephants 
The_bianca_Story Jan_Blomqvist, Dancing People Are Never Wrong
???Theophilus London Wine and Chocolates (andhim rmx)
Tom_Odell Tom_B, Another Love
Tourist, I Can't Keep Up ft Will Heard
Trinity, Beyond Wasted Time
Tube_and_Berger, K_Sanders, bring back the love
Wankelmut Emma_Louise, My Head Is A Jungle
Wankelmut, One Day
Watermät, Bullit 
Whithe, Mistakes
???Yann Tiersen, Klangkuenstler Die Elektronische Welt der Amélie
Zoo_Brazil Rasmus_Kellerman, There is Hope
Dast, Skulkyoe
Fritz_Kalkbrenner, Lose
Christian_Löffler Hundreds, Ten Headed Beast
Joris_Voorn Christian_Löffler, So Long
Dave_DK, Fade In
Christian_Löffler, fall
